review_title,date_stay,review_text,true_label,predicted_label,predicted_category,predicted_keywords
we enjoyed our visit to the Student Hotel and Groningen the city,10-2021,water problem at the shower,negative,negative,complaint,"[('shower', 0.7893), ('water', 0.5449), ('problem', 0.307)]"
"The concept and the location are amazing, but for the price I expected a clean room and a comfortable bed.",08-2023,"The beds are very uncomfortable, the pillows are a disaster, the shower wasn’t clean, no toilet paper, waste in the drawers",negative,negative,complaint,"[('beds', 0.5938), ('pillows', 0.4551), ('uncomfortable', 0.4343), ('disaster', 0.3738), ('shower', 0.2913)]"
Pleasant,08-2022,"After we saw the lobby we had high expectations of our room. The hotel was not really cheap so we thought the rooms should be in really good shape. In contradiction to the downstairs area we were unimpressed by the upstairs hallways (narrow, bad lighting) and rooms. The rooms we booked were basic and in need of an upgrade. The beds were in bad shape, we had a pit in our matrasses. There was no shower door and the shower space was really cramped.",negative,negative,complaint,"[('rooms', 0.5597), ('hotel', 0.4911), ('room', 0.4414), ('beds', 0.4236), ('hallways', 0.42)]"
Good choice in Groningen,08-2021,Lack of elevators. Only one per building. And due to corona virus only two persons can use at the time.,negative,negative,complaint,"[('elevators', 0.4975), ('virus', 0.4078), ('lack', 0.3108), ('building', 0.2925), ('persons', 0.1562)]"
Excellent,08-2021,Breakfast in room attracted some expenses which should have been told earlier,negative,negative,complaint,"[('breakfast', 0.5658), ('expenses', 0.4302), ('room', 0.3443), ('earlier', 0.2428), ('told', 0.1985)]"
can recommend.,04-2023,"The switch for the night lamp is very difficult to reach,  when lying in bed.",negative,negative,complaint,"[('bed', 0.5583), ('lamp', 0.5526), ('night', 0.5042), ('difficult', 0.3033), ('switch', 0.3013)]"
Perfect stay in Groningen,06-2022,Nothing,negative,neutral,observation,[]
Very good,08-2021,Everythings was perfetct,negative,positive,complaint,"[('perfetct', 0.6294), ('everythings', 0.5452)]"
Made my time more memorable.,05-2022,"I have house dust allergies and on the first night they were triggered, resulting in me having pretty bad allergies. Totally clogged sinuses and all and I figured that it was due to the lack of circulation and the colourful bed cover which accumulated dust. That is the only thing I would mind.",negative,negative,complaint,"[('allergies', 0.6837), ('dust', 0.4376), ('sinuses', 0.3018), ('bed', 0.2149), ('clogged', 0.1995)]"
Superb,08-2021,"The shower is a bit small, and awkward but clean.",negative,neutral,complaint,"[('shower', 0.7447), ('clean', 0.4334), ('awkward', 0.2658), ('small', 0.2584), ('bit', 0.066)]"
"Clean and cozy, fun atmosphere, all around good vibes",12-2022,"my lights kept turning off, but when I called they came up immediately and showed me how to fix it(I was putting the key in upside down)",negative,neutral,suggestion,"[('lights', 0.4904), ('fix', 0.3), ('key', 0.2868), ('upside', 0.2536), ('turning', 0.2468)]"
Nice modern hotel,07-2023,Could be a little cheaper,negative,neutral,complaint,"[('cheaper', 0.7285), ('little', 0.3567)]"
Overall positive experience,03-2023,"It was very dusty in the room. Also, our room was situated above the restaurant/kitchen, and around dinner time we could smell food in the bathroom. Finally, the temperature of the shower fluctuated a lot! From very hot to very cold. 
Otherwise, very nice stay.",negative,negative,complaint,"[('shower', 0.4157), ('temperature', 0.378), ('smell', 0.3544), ('dusty', 0.3528), ('room', 0.331)]"
More of a student accommodation with great breakfast.,08-2023,"It is more like a fairly nice student accommodation than a hotel. Hallways were oddly dark and smelled weird, and the rooms could have been more welcoming and cozy.",negative,negative,complaint,"[('rooms', 0.5477), ('accommodation', 0.4977), ('hotel', 0.4832), ('hallways', 0.4788), ('cozy', 0.4197)]"
It’s raining man,07-2023,"No cutlery, dishes in the trim despite having a kitchen.",negative,negative,complaint,"[('kitchen', 0.6038), ('dishes', 0.4766), ('cutlery', 0.4235), ('trim', 0.1622), ('having', 0.1152)]"
Great value and very pleasantly surprised!,07-2022,Nothing really - it suited our trip perfectly.,negative,neutral,compliment,"[('perfectly', 0.4488), ('trip', 0.3767), ('suited', 0.2178), ('really', 0.1856)]"
Nice place nice staff all fun,07-2023,Shower is good but tiny and makes a mess in bathroom.,negative,neutral,complaint,"[('shower', 0.7494), ('bathroom', 0.6618), ('mess', 0.3999), ('tiny', 0.3059), ('good', 0.1351)]"
