review_title,review_date,reviewer_country,room_type,party_size,nr_nights,date_stay,review_score,review_great,review_poor,hotel_response_bool
Exceptional,08-2022,Turkey,Deluxe King Room,Solo traveller,1,08-2022,10,Everything was perfect. + shower gel and soap smelled amazing! :) Thank you.,N/A,False
"Great place, great staff, great breakfast",12-2023,United States,Deluxe King Room,Solo traveller,3,12-2023,8.0,"Good vibe, young, modern, easy",N/A,True
Good place to stay.,11-2023,United States,Deluxe King Room,Couple,3,11-2023,8.0,The hotel was nice and had good amenities. Staff was helpful.,The arrangements for the laundry were challenging and limited to 1 per room and using booking.com complicated it. No fridge or microwave and the cafe was a little weird about outside food.,True
Good,08-2023,Germany,Standard Queen Room,Couple,6,08-2023,7.0,Very friendly staff and good location.,Very simple and not completely cleaned room.,True
I would come back :),10-2023,Germany,Standard Queen Room,Solo traveller,1,10-2023,8.0,"The location is great, good atmosphere with many young people around. The room was quite big, new bathroom, breakfast was really good /good choice. I used the P+R Kardinge from where the bus takes 6 minutes to the station, situated 400 m away from the hotel. City centre was a 5-minutes-walk away, a big choice of different restaurants nearby.","Staff was friendly, but not always where I expected someone to be (reception, bar), you sometimes had to wait for a while till someone came. 
The room itself was clean, but there was dirt on the floors and right next to the door to my room water was dripping from the ceiling, somebody had placed a bucket there, but all around it the floor/carpet was wet. 
A ventilator in the bathroom would have been nice..",True
A great place to stay in lovely town of Groningen.,07-2023,United Kingdom,Standard Queen Room,Couple,1,07-2023,7.0,The central location was fab and has a secure car park next door. The hotel is quirky and fun and the staff are efficient and friendly. Would def stay again if we could have a room at front of hotel and not on 6 th floor.,This was our second stay at this hotel. ( we stayed in mid June at the start of our holiday) We didn’t enjoy this stay so much as we were on the 6 th floor and the room was much smaller. It was also at the back of the hotel and so was very hot.,True
Good,07-2023,Netherlands,Standard Queen Room,Group,1,07-2023,7.0,Very beautiful design,"Very small and narrow rooms, but depressing decor compared to rest of hotel",True
Nice hotel,07-2023,Ukraine,Standard Queen Room,Group,2,07-2023,9.0,"The location is great, not far from the center, in a well-lit place, we had no problems returning from the concert at night. The beds are comfortable, the breakfast is good, the room is clean, there is a kettle. I loved the interior with fun little quotes throughout the room (like the shower gel in a bottle called ""Knowledge is a shower""). And we were given bottled water as a nice bonus on check out",N/A,True
Very good,06-2023,Romania,Deluxe King Room,Couple,2,06-2023,8.0,The warm approach of the staff. Also nice location if you want to explore Groningen town center. It's a small town so is not so big deal to make a tour but is a plus to be there.,N/A,True
Good,09-2023,Indonesia,Deluxe King Room,Family,6,09-2023,7.0,"Location, bed, staff.","Food, lift, TV",True
OK for a short stay in the centre of Groningen,08-2023,United Kingdom,Deluxe King Room,Couple,1,08-2023,7.0,Breakfast was fine and staff were friendly but the restaurant area was very busy and some tables for 4 were taken up by one person with a coffee working on their laptop so it was difficult to use those tables. There was good parking close by although you had to pay for it.,"We had to wait quite a while to check in as staff were moving a bed in another room. We arrived late after a long drive and the restaurant was closed,only the bar was open. When we asked where we could get food the reception staff sent us on a complicated journey only to find that restaurant was also closed. They could have told us there was a takeaway nearby which we only discovered on the way back. The room was large and the bed comfortable but sockets were not conveniently placed for charging phones etc.",True
Superb,08-2023,Finland,Standard Queen Room,Solo traveller,4,08-2023,9.0,Spacious and clean room. No disturbances and I slept well.,Elevator was very slowly so I ended up using the stairs. Not a problem because luckily I had the room in the first floor.,True
Our stay was very good. We recommend it.,08-2023,Malta,Deluxe King Room,Couple,4,08-2023,8.0,"Breakfast was very good - we enjoyed it.
Location is ideal - it’s very close to the centre.
Room was spacious and bed was very comfortable.","The fact that there wssn’t a mini fridge in the room.
And shower did not have a proper shower cubicle",True
Very good,08-2023,United Kingdom,Standard Queen Room,Family,2,08-2023,8.0,Nice modern hotel close to the centre with a comfy bed.,N/A,True
"I was pleased with the location, close to city. Close with the Parking next door. Breakfast good.",08-2023,Belgium,Standard Queen Room,Family,2,08-2023,7.0,The location was absolutely perfect,The lifts were very slow and took long to get to access,True
TSH was not part of my social life in Groningen but the staff was helpful in orienting to the city.,08-2023,Switzerland,Standard Queen Room,Solo traveller,4,08-2023,9.0,The Social Hub was near my conference venue at Groningen University.,N/A,True
Good hotel and location,08-2023,Egypt,Standard Queen Room,Solo traveller,1,08-2023,8.0,Location of the hotel,Nil,True
More of a student accommodation with great breakfast.,08-2023,Germany,Standard Queen Room,Family,1,08-2023,7.0,"The Hotel has great lounging and co-working spaces as well as ping-pong tables. And the breakfast was awesome, especially for vegans & vegetarians!","It is more like a fairly nice student accommodation than a hotel. Hallways were oddly dark and smelled weird, and the rooms could have been more welcoming and cozy.",True
Very good,07-2023,Netherlands,Standard Queen Room,Family,1,07-2023,8.0,"Downstairs lobby is nice and breakfast is for European ok. 
Rooms are clean and nice.
Location is central.","Overall atmosphere is a bit down.
View is sometimes ok. Can be noisy.price is to high for what you get but rates are different every day. 
100 euro max. .",True
"Overall Its a nice hotel, I enjoyed my stay there with my son for 5 nights this summer. I would reccomend it.",08-2023,United Arab Emirates,Deluxe King Room,Couple,5,08-2023,7.0,"The location is very close to the town square where all the Shops, bata and restaurants. Its 10 mins by car to the train station. There is a bus stop 2 mins walk to the hotel. The staff are very friendly and approachable. They have a gym, washing machine can be used for free using the app. Iron and ironing board are also available. The Restaurant serves a good selection of lunch and dinner. Its very good for families and students","The rooms are very basic, bed headboard and under the bed are very dusty. The AC isnt great, not cooling much. Breakfast has limited options and disorganised.",True
Nice modern hotel,07-2023,Ireland,Deluxe King Room,Solo traveller,3,07-2023,9.0,The vibe,Could be a little cheaper,True
Good for one night with no expectations. Would not repeat a stay here again.,08-2023,Germany,Standard Queen Room,Family,1,08-2023,7.0,Breakfast was good.,"We booked two rooms. Rooms not ready at 15h. Air conditioning not working in one room. Batteries of one remote dead. Rooms are very tiny, shower is small as well",True
Good value and lovely staff in a great location,08-2023,United Kingdom,Standard Queen Room,Solo traveller,1,08-2023,9.0,The location was great and the car park next door was ideal with space for everyone. The young lady at breakfast (Sanne) was super helpful and made me feel special. Big thanks to her,Nothing to say here,True
"Overall a very pleasant stay, central location, nice vibe and friendly staff, cool interior and great breakfast buffet:)",08-2023,Germany,Deluxe King Room,Group,1,08-2023,9.0,"Overall a very pleasant stay, central location, nice vibe and friendly staff, cool interior and great breakfast buffet:)",Rooms could be a bit cleaner (dust) and the hallways to the rooms are a bit dark.,True
Good value for money and suitable for youth travelers.,08-2023,Saudi Arabia,Standard Queen Room,Couple,5,08-2023,8.0,"Staff is professional and smiling. Good location, good value for money and breakfast.",Cleaning can be better (there was dust in the shelves) and carpet not cleaned properly.,True
Very good,08-2023,Argentina,Standard Queen Room,Solo traveller,1,08-2023,8.0,Location,N/A,True
"Friendly staff, clean & modern environment.",07-2023,Belgium,Deluxe King Room,Solo traveller,1,07-2023,8.0,I arrived very late and the kitchen was already closed. However the restaurant made an effort to prepare a hot meal for me anyway. Very kind!,N/A,True
"Nice rooms, super friendly staff",07-2023,Germany,Standard Queen Room,Solo traveller,2,07-2023,9.0,"Staff was super friendly, quite an awesome bathroom, free water packs and a generally chilled out and relaxed vibe.","Rooms could have been a tiny bit cleaner though, to be fair, it still was a LOT cleaner than a lot of other Hotels",True
"The concept and the location are amazing, but for the price I expected a clean room and a comfortable bed.",08-2023,Germany,Standard Queen Room,Family,1,08-2023,7.0,"Location, concept, food, staff","The beds are very uncomfortable, the pillows are a disaster, the shower wasn’t clean, no toilet paper, waste in the drawers",True
Very good,07-2023,United States,Deluxe King Room,Couple,3,07-2023,8.0,"The downstairs is very open and has a,lot of working space.",N/A,True
Very good,07-2023,Ukraine,Deluxe King Room,Solo traveller,1,07-2023,8.0,"modern, clean",N/A,True
It’s raining man,07-2023,Belgium,Deluxe Studio,Couple,3,07-2023,8.0,"The facilities (laundry, bar) and the room","No cutlery, dishes in the trim despite having a kitchen.",True
Great stay!,07-2023,Italy,Deluxe King Room,Couple,1,07-2023,9.0,"Lovely hotel with plenty of space. Curated in every detail, we enjoyed the large room with a modern bathroom. Very silent at night.",Nothing! Great stay!,True
Great stay for a weekend away with friends,07-2023,Netherlands,Standard Queen Room,Group,3,07-2023,7.0,The general area is great and the cleaning was done really well. The location is also really good!,The beds weren't that comfortable and could definitely be improved.,True
